time,open,high,low,close
2017-12-29T21:00:00Z,112.681,112.703,112.643,112.651
2018-01-01T21:00:00Z,112.651,112.651,112.594,112.594
2018-01-01T22:00:00Z,112.594,112.676,112.564,112.592
2018-01-01T23:00:00Z,112.592,112.79,112.592,112.772
2018-01-02T00:00:00Z,112.772,112.792,112.738,112.767
2018-01-02T04:00:00Z,112.767,112.767,112.702,112.709
2018-01-02T05:00:00Z,112.709,112.738,112.667,112.687
2018-01-02T06:00:00Z,112.687,112.701,112.647,112.667
2018-01-02T07:00:00Z,112.667,112.687,112.611,112.63
2018-01-02T08:00:00Z,112.63,112.637,112.375,112.385
2018-01-02T09:00:00Z,112.385,112.402,112.246,112.254
2018-01-02T10:00:00Z,112.254,112.282,112.116,112.138
2018-01-02T11:00:00Z,112.138,112.235,112.132,112.232
2018-01-02T12:00:00Z,112.232,112.237,112.142,112.162
2018-01-02T13:00:00Z,112.162,112.186,112.084,112.125
2018-01-02T14:00:00Z,112.125,112.247,112.055,112.231
2018-01-02T15:00:00Z,112.231,112.27,112.132,112.149
2018-01-02T16:00:00Z,112.149,112.26,112.098,112.172
2018-01-02T17:00:00Z,112.172,112.303,112.166,112.284
2018-01-02T18:00:00Z,112.284,112.353,112.267,112.338
2018-01-02T19:00:00Z,112.338,112.344,112.253,112.258
2018-01-02T20:00:00Z,112.258,112.284,112.241,112.272
2018-01-02T21:00:00Z,112.272,112.323,112.251,112.273
2018-01-02T22:00:00Z,112.273,112.362,112.22,112.232
2018-01-02T23:00:00Z,112.232,112.283,112.172,112.256
2018-01-03T00:00:00Z,112.256,112.362,112.217,112.338
2018-01-03T01:00:00Z,112.338,112.358,112.267,112.318
2018-01-03T02:00:00Z,112.318,112.397,112.304,112.382
2018-01-03T03:00:00Z,112.382,112.386,112.325,112.341
2018-01-03T04:00:00Z,112.341,112.349,112.264,112.326
2018-01-03T05:00:00Z,112.326,112.332,112.268,112.279
2018-01-03T06:00:00Z,112.279,112.313,112.236,112.303
2018-01-03T07:00:00Z,112.303,112.392,112.295,112.353
2018-01-03T08:00:00Z,112.353,112.38,112.297,112.345
2018-01-03T09:00:00Z,112.345,112.362,112.293,112.301
2018-01-03T10:00:00Z,112.301,112.327,112.211,112.249
2018-01-03T11:00:00Z,112.249,112.282,112.225,112.235
2018-01-03T12:00:00Z,112.235,112.281,112.195,112.259
2018-01-03T13:00:00Z,112.259,112.275,112.221,112.228
2018-01-03T14:00:00Z,112.228,112.28,112.191,112.227
2018-01-03T15:00:00Z,112.227,112.5,112.227,112.395
2018-01-03T16:00:00Z,112.395,112.4,112.279,112.288
2018-01-03T17:00:00Z,112.288,112.364,112.275,112.331
2018-01-03T18:00:00Z,112.331,112.36,112.304,112.312
2018-01-03T19:00:00Z,112.312,112.608,112.298,112.526
2018-01-03T20:00:00Z,112.526,112.526,112.409,112.461
2018-01-03T21:00:00Z,112.461,112.525,112.443,112.502
2018-01-03T22:00:00Z,112.502,112.563,112.461,112.544
2018-01-03T23:00:00Z,112.544,112.624,112.532,112.608
2018-01-04T00:00:00Z,112.608,112.728,112.606,112.684
2018-01-04T01:00:00Z,112.684,112.778,112.681,112.728
2018-01-04T02:00:00Z,112.728,112.731,112.639,112.645
2018-01-04T03:00:00Z,112.645,112.692,112.641,112.663
2018-01-04T04:00:00Z,112.663,112.669,112.617,112.652
2018-01-04T05:00:00Z,112.652,112.667,112.62,112.66
2018-01-04T06:00:00Z,112.66,112.661,112.488,112.54
2018-01-04T07:00:00Z,112.54,112.592,112.517,112.581
2018-01-04T08:00:00Z,112.581,112.673,112.579,112.622
2018-01-04T09:00:00Z,112.622,112.642,112.539,112.545
2018-01-04T10:00:00Z,112.545,112.604,112.527,112.561
2018-01-04T11:00:00Z,112.561,112.617,112.542,112.602
2018-01-04T12:00:00Z,112.602,112.653,112.599,112.62
2018-01-04T13:00:00Z,112.62,112.847,112.617,112.827
2018-01-04T14:00:00Z,112.827,112.836,112.753,112.823
2018-01-04T15:00:00Z,112.823,112.857,112.758,112.773
2018-01-04T16:00:00Z,112.773,112.864,112.748,112.79
2018-01-04T17:00:00Z,112.79,112.852,112.761,112.768
2018-01-04T18:00:00Z,112.768,112.839,112.756,112.824
2018-01-04T19:00:00Z,112.824,112.832,112.725,112.749
2018-01-04T20:00:00Z,112.749,112.781,112.711,112.731
2018-01-04T21:00:00Z,112.731,112.753,112.71,112.734
2018-01-04T22:00:00Z,112.734,112.787,112.717,112.775
2018-01-04T23:00:00Z,112.775,112.804,112.765,112.802
2018-01-05T00:00:00Z,112.802,112.807,112.728,112.77
2018-01-05T01:00:00Z,112.77,112.791,112.743,112.773
2018-01-05T02:00:00Z,112.773,112.848,112.723,112.846
2018-01-05T03:00:00Z,112.846,112.852,112.807,112.832
2018-01-05T04:00:00Z,112.832,112.884,112.827,112.878
2018-01-05T05:00:00Z,112.878,113.003,112.878,112.998
2018-01-05T06:00:00Z,112.998,113.112,112.982,113.081
2018-01-05T07:00:00Z,113.081,113.156,113.038,113.145
2018-01-05T08:00:00Z,113.145,113.238,113.137,113.212
2018-01-05T09:00:00Z,113.212,113.241,113.16,113.226
2018-01-05T10:00:00Z,113.226,113.242,113.168,113.234
2018-01-05T11:00:00Z,113.234,113.288,113.221,113.232
2018-01-05T12:00:00Z,113.232,113.254,113.207,113.238
2018-01-05T13:00:00Z,113.238,113.303,113.018,113.215
2018-01-05T14:00:00Z,113.215,113.274,113.147,113.257
2018-01-05T15:00:00Z,113.257,113.27,113.082,113.231
2018-01-05T16:00:00Z,113.231,113.241,113.135,113.184
2018-01-05T17:00:00Z,113.184,113.222,113.146,113.158
2018-01-05T18:00:00Z,113.158,113.191,113.141,113.167
2018-01-05T19:00:00Z,113.167,113.171,113.122,113.14
2018-01-05T20:00:00Z,113.14,113.148,113.107,113.108
2018-01-05T21:00:00Z,113.108,113.129,113.018,113.018
2018-01-07T22:00:00Z,113.127,113.141,113.008,113.108
2018-01-07T23:00:00Z,113.108,113.182,113.082,113.16
2018-01-08T00:00:00Z,113.16,113.16,113.096,113.096
2018-01-08T01:00:00Z,113.096,113.158,113.08,113.132
2018-01-08T02:00:00Z,113.132,113.202,113.111,113.181
2018-01-08T03:00:00Z,113.181,113.201,113.167,113.18
2018-01-08T04:00:00Z,113.18,113.201,113.172,113.198
2018-01-08T05:00:00Z,113.198,113.273,113.197,113.23
2018-01-08T06:00:00Z,113.23,113.24,113.202,113.211
2018-01-08T07:00:00Z,113.211,113.387,113.211,113.373
2018-01-08T08:00:00Z,113.373,113.376,113.228,113.236
2018-01-08T09:00:00Z,113.236,113.247,113.118,113.159
2018-01-08T10:00:00Z,113.159,113.166,113.078,113.125
2018-01-08T11:00:00Z,113.125,113.155,113.098,113.104
2018-01-08T12:00:00Z,113.104,113.104,113,113.061
2018-01-08T13:00:00Z,113.061,113.079,112.881,112.929
2018-01-08T14:00:00Z,112.929,113.008,112.902,112.979
2018-01-08T15:00:00Z,112.979,113.051,112.948,112.977
2018-01-08T16:00:00Z,112.977,113.124,112.955,113.08
2018-01-08T17:00:00Z,113.08,113.125,113.061,113.082
2018-01-08T18:00:00Z,113.082,113.111,113.051,113.06
2018-01-08T19:00:00Z,113.06,113.076,113.022,113.071
2018-01-08T20:00:00Z,113.071,113.126,113.06,113.063
2018-01-08T21:00:00Z,113.063,113.107,113.054,113.082
2018-01-08T22:00:00Z,113.082,113.159,113.08,113.153
2018-01-08T23:00:00Z,113.153,113.175,113.094,113.148
2018-01-09T00:00:00Z,113.148,113.18,113.112,113.126
2018-01-09T01:00:00Z,113.126,113.174,112.59,112.662
2018-01-09T02:00:00Z,112.662,112.662,112.496,112.56
2018-01-09T03:00:00Z,112.56,112.682,112.549,112.626
2018-01-09T04:00:00Z,112.626,112.657,112.569,112.618
2018-01-09T05:00:00Z,112.618,112.702,112.58,112.698
2018-01-09T06:00:00Z,112.698,112.751,112.637,112.747
2018-01-09T07:00:00Z,112.747,112.802,112.7,112.739
2018-01-09T08:00:00Z,112.739,112.96,112.734,112.925
2018-01-09T09:00:00Z,112.925,112.968,112.865,112.876
2018-01-09T10:00:00Z,112.876,112.895,112.796,112.817
2018-01-09T11:00:00Z,112.817,112.823,112.641,112.668
2018-01-09T12:00:00Z,112.668,112.68,112.587,112.608
2018-01-09T13:00:00Z,112.608,112.675,112.496,112.632
2018-01-09T14:00:00Z,112.632,112.779,112.596,112.756
2018-01-09T15:00:00Z,112.756,112.756,112.366,112.432
2018-01-09T16:00:00Z,112.432,112.592,112.432,112.572
2018-01-09T17:00:00Z,112.572,112.67,112.561,112.581
2018-01-09T18:00:00Z,112.581,112.63,112.545,112.551
2018-01-09T19:00:00Z,112.551,112.653,112.521,112.629
2018-01-09T20:00:00Z,112.629,112.689,112.584,112.602
2018-01-09T21:00:00Z,112.602,112.657,112.574,112.635
2018-01-09T22:00:00Z,112.635,112.67,112.613,112.621
2018-01-09T23:00:00Z,112.621,112.776,112.617,112.775
2018-01-10T00:00:00Z,112.775,112.785,112.332,112.376
2018-01-10T01:00:00Z,112.376,112.423,112.168,112.186
2018-01-10T02:00:00Z,112.186,112.313,112.183,112.25
2018-01-10T03:00:00Z,112.25,112.326,112.231,112.285
